Date,VLID3.SA,EGIE3.SA,ALZR11.SA,^NQDXBR
2018-04-23,18.229999542236328,29.84000015258789,101.11000061035156,1214.719970703125
2018-04-24,18.5,29.200000762939453,101.08000183105469,1199.27001953125
2018-04-25,18.3700008392334,29.280000686645508,101.44000244140625,1187.030029296875
2018-04-26,18.440000534057617,30.15999984741211,100.33000183105469,1202.1600341796875
2018-04-27,18.299999237060547,30.11199951171875,100.86000061035156,1209.18994140625
2018-04-30,18.299999237060547,29.591999053955078,101.5,
2018-05-02,17.8700008392334,29.479999542236328,101.69000244140625,1157.800048828125
2018-05-03,17.649999618530273,29.3439998626709,101.62999725341797,1135.1199951171875
2018-05-04,17.25,29.06399917602539,101.02999877929688,1144.469970703125
2018-05-07,17.190000534057617,28.895999908447266,100.52999877929688,1128.47998046875
2018-05-08,17.209999084472656,28.75200080871582,100.88999938964844,1124.8199462890625
