,Date,AMER3.SA,LAME4.SA,MGLU3.SA,AMZO34.SA,^BVSP,SELIC
82,2005-08-16,20.76279640197754,2743.958740234375,,,27080.0,0.071614
83,2005-08-17,21.195539474487305,2762.378662109375,,,27416.0,0.071548
84,2005-08-18,21.637113571166992,2683.1728515625,,,26900.0,0.071515
85,2005-08-19,21.195539474487305,2670.892822265625,,,26644.0,0.071515
86,2005-08-22,22.511428833007812,2670.892822265625,,,27261.0,0.071515
87,2005-08-23,22.25531768798828,2716.942626953125,,,26769.0,0.071515
88,2005-08-24,22.387788772583008,2720.0126953125,,,26712.0,0.071515
89,2005-08-25,22.723384857177734,2781.41259765625,,,27402.0,0.071515
90,2005-08-26,22.25531768798828,2750.712646484375,,,27095.0,0.071515
91,2005-08-29,22.829362869262695,2744.57275390625,,,27385.0,0.071481
92,2005-08-30,22.520261764526367,2670.27880859375,,,27604.0,0.071481
93,2005-08-31,22.696889877319336,2658.61279296875,,,28045.0,0.071481
94,2005-09-02,22.60857582092285,2634.052978515625,,,28319.0,0.066542
95,2005-09-05,22.343631744384766,2640.19287109375,,,28522.0,0.070784
96,2005-09-06,23.50055503845215,2674.576904296875,,,28855.0,0.071548
97,2005-09-08,23.844982147216797,2594.14306640625,,,28828.0,0.071581
98,2005-09-09,24.286556243896484,2634.052978515625,,,29308.0,0.071515
99,2005-09-12,23.75666618347168,2669.664794921875,,,29086.0,0.067314
100,2005-09-13,22.961835861206055,2621.77294921875,,,28873.0,0.071515
101,2005-09-14,22.74104881286621,2731.064697265625,,,29050.0,0.071515
102,2005-09-15,22.74104881286621,2769.132568359375,,,29366.0,0.070685
103,2005-09-16,24.38370132446289,2741.502685546875,,,29816.0,0.070718
104,2005-09-19,23.659521102905273,2732.90673828125,,,30076.0,0.070751
105,2005-09-20,23.844982147216797,2743.3447265625,,,30059.0,0.070751
106,2005-09-21,25.07255744934082,2777.114501953125,,,30837.0,0.070718
107,2005-09-22,24.719297409057617,2775.886474609375,,,30678.0,0.070751
108,2005-09-23,24.728130340576172,2839.742431640625,,,31294.0,0.070718
109,2005-09-26,25.611276626586914,2824.392333984375,,,31141.0,0.070718
110,2005-09-27,25.39048957824707,2861.232421875,,,30875.0,0.070718
111,2005-09-28,24.772287368774414,3001.223876953125,,,31317.0,0.070784
112,2005-09-29,24.728130340576172,3008.592041015625,,,31209.0,0.070784
113,2005-09-30,25.611276626586914,3162.091552734375,,,31584.0,0.070818
114,2005-10-03,26.49442481994629,3174.37158203125,,,31856.0,0.068218
115,2005-10-05,26.847684860229492,2952.718017578125,,,30164.0,0.070784
116,2005-10-06,26.847684860229492,2762.99267578125,,,29227.0,0.071548
117,2005-10-10,27.37757110595703,2824.392333984375,,,30277.0,0.070552
118,2005-10-11,27.112628936767578,2882.72216796875,,,30614.0,0.06912
119,2005-10-13,26.759368896484375,2836.67236328125,,,29880.0,0.070552
120,2005-10-14,26.49442481994629,2855.09228515625,,,29770.0,0.070552
121,2005-10-17,26.838851928710938,2872.898193359375,,,30242.0,0.070552
122,2005-10-18,26.317794799804688,2762.99267578125,,,29068.0,0.070552
123,2005-10-19,26.317794799804688,2762.99267578125,,,29297.0,0.070552
124,2005-10-20,27.02431297302246,2732.90673828125,,,28344.0,0.068886
125,2005-10-21,27.37757110595703,2825.00634765625,,,29176.0,0.068886
126,2005-10-24,27.156784057617188,2873.51220703125,,,29835.0,0.068886
127,2005-10-25,27.130290985107422,2916.4921875,,,29498.0,0.068886
128,2005-10-26,26.49442481994629,2935.526123046875,,,29730.0,0.068886
129,2005-10-27,26.49442481994629,2852.0224609375,,,29133.0,0.068886
130,2005-10-28,27.1479549407959,2946.578125,,,29318.0,0.068886
131,2005-10-31,27.200942993164062,2885.792236328125,,,30194.0,0.068886
132,2005-11-01,29.055551528930664,2979.1201171875,,,30900.0,0.064826
133,2005-11-03,29.49712562561035,3020.871826171875,,,31100.0,0.068218
134,2005-11-04,29.850385665893555,3038.677734375,,,30888.0,0.069853
135,2005-11-07,30.027015686035156,3057.7119140625,,,30952.0,0.071448
136,2005-11-08,29.58544158935547,3069.99169921875,,,30971.0,0.071581
137,2005-11-10,29.364654541015625,3069.99169921875,,,30725.0,0.070552
138,2005-11-11,28.30487632751465,3116.041748046875,,,30511.0,0.069153
139,2005-11-14,28.790607452392578,3100.691650390625,,,30219.0,0.069153
140,2005-11-16,29.14386749267578,3192.79150390625,,,30482.0,0.06912
141,2005-11-17,29.320497512817383,3395.410888671875,,,31087.0,0.069086
142,2005-11-18,29.320497512817383,3462.95068359375,,,31102.0,0.069053
143,2005-11-21,29.14386749267578,3529.87646484375,,,31110.0,0.068986
144,2005-11-22,29.14386749267578,3567.330322265625,,,31489.0,0.068986
145,2005-11-23,29.232181549072266,3598.0302734375,,,31943.0,0.068919
146,2005-11-24,30.380273818969727,3677.85009765625,,,31945.0,0.067247
147,2005-11-25,31.934612274169922,3807.40380859375,,,31920.0,0.06728
148,2005-11-28,31.766815185546875,3806.789794921875,,,31358.0,0.067347
149,2005-11-29,31.616680145263672,3757.669921875,,,31652.0,0.067381
150,2005-11-30,32.65879440307617,3757.669921875,,,31917.0,0.067481
151,2005-12-01,33.55960464477539,3889.6796875,,,32617.0,0.064826
152,2005-12-05,35.9441032409668,3886.609619140625,,,32701.0,0.070784
153,2005-12-07,37.53376770019531,3868.189697265625,,,32757.0,0.071448
154,2005-12-08,37.70156478881836,3745.389892578125,,,32480.0,0.071581
155,2005-12-09,38.858489990234375,3745.389892578125,,,32922.0,0.071515
156,2005-12-12,39.697479248046875,3803.7197265625,,,32971.0,0.067314
157,2005-12-13,40.88972854614258,3898.8896484375,,,33420.0,0.067314
158,2005-12-14,40.492313385009766,3990.9892578125,,,33629.0,0.067314
159,2005-12-15,38.858489990234375,4113.7890625,,,33193.0,0.065702
160,2005-12-16,37.975341796875,4224.30859375,,,33292.0,0.065803
161,2005-12-19,37.40129470825195,4070.80908203125,,,33005.0,0.065836
162,2005-12-20,37.79871368408203,4003.269287109375,,,33067.0,0.065836
163,2005-12-21,38.151973724365234,3916.695556640625,,,33517.0,0.065836
164,2005-12-22,37.092193603515625,3972.5693359375,,,33513.0,0.065836
165,2005-12-23,35.76747131347656,4126.06884765625,,,33331.0,0.065836
166,2005-12-26,37.18050765991211,4113.7890625,,,33298.0,0.065836
